experiment_id,agent_group_id,algorithm,awareness,n_records,mean_risk,mean_risk_var,avg_path_length,avg_time,max_time,name,risk_nodes,source_nodes,agents_per_source,random_seed
4,1,Centrality,Low,26,0.05266330891330891,0.0065692794033567845,3.8076923076923075,30.06461538461542,37.74000000000004,representative_case_theme_park,"[[0, ""67"", 1.0], [0, ""54"", 1.0], [0, ""28"", 1.0], [0, ""17"", 1.0], [0, ""11"", 1.0]]","[""1"", ""4"", ""35"", ""50""]","[13, 7, 6, 4]",2468
4,4,Centrality,High,26,0.032852564102564104,0.0039037126068376064,2.576923076923077,17.935714285714305,21.420000000000023,representative_case_theme_park,"[[0, ""67"", 1.0], [0, ""54"", 1.0], [0, ""28"", 1.0], [0, ""17"", 1.0], [0, ""11"", 1.0]]","[""1"", ""4"", ""35"", ""50""]","[13, 7, 6, 4]",2468
4,4,Centrality,Low,26,0.032852564102564104,0.0039037126068376064,2.576923076923077,17.935714285714305,21.420000000000023,representative_case_theme_park,"[[0, ""67"", 1.0], [0, ""54"", 1.0], [0, ""28"", 1.0], [0, ""17"", 1.0], [0, ""11"", 1.0]]","[""1"", ""4"", ""35"", ""50""]","[13, 7, 6, 4]",2468
4,35,Centrality,High,26,0.04720154845154845,0.010198952269772075,3.6153846153846154,19.21000000000002,22.59000000000002,representative_case_theme_park,"[[0, ""67"", 1.0], [0, ""54"", 1.0], [0, ""28"", 1.0], [0, ""17"", 1.0], [0, ""11"", 1.0]]","[""1"", ""4"", ""35"", ""50""]","[13, 7, 6, 4]",2468
4,35,Centrality,Low,26,0.08693246924016156,0.022203175179443143,4.346153846153846,22.395000000000024,24.810000000000024,representative_case_theme_park,"[[0, ""67"", 1.0], [0, ""54"", 1.0], [0, ""28"", 1.0], [0, ""17"", 1.0], [0, ""11"", 1.0]]","[""1"", ""4"", ""35"", ""50""]","[13, 7, 6, 4]",2468
4,50,Centrality,High,26,0.044459706959706954,0.004667833158904587,2.8461538461538463,18.87750000000002,21.960000000000022,representative_case_theme_park,"[[0, ""67"", 1.0], [0, ""54"", 1.0], [0, ""28"", 1.0], [0, ""17"", 1.0], [0, ""11"", 1.0]]","[""1"", ""4"", ""35"", ""50""]","[13, 7, 6, 4]",2468
4,50,Centrality,Low,26,0.044459706959706954,0.004667833158904587,2.8461538461538463,18.87750000000002,21.960000000000022,representative_case_theme_park,"[[0, ""67"", 1.0], [0, ""54"", 1.0], [0, ""28"", 1.0], [0, ""17"", 1.0], [0, ""11"", 1.0]]","[""1"", ""4"", ""35"", ""50""]","[13, 7, 6, 4]",2468
4,1,Efficient,High,26,0.05266330891330891,0.0065692794033567845,3.8076923076923075,30.06461538461542,37.74000000000004,representative_case_theme_park,"[[0, ""67"", 1.0], [0, ""54"", 1.0], [0, ""28"", 1.0], [0, ""17"", 1.0], [0, ""11"", 1.0]]","[""1"", ""4"", ""35"", ""50""]","[13, 7, 6, 4]",2468
4,1,Efficient,Low,34,0.08800186741363213,0.02814427808160301,4.117647058823529,38.10000000000004,50.07000000000005,representative_case_theme_park,"[[0, ""67"", 1.0], [0, ""54"", 1.0], [0, ""28"", 1.0], [0, ""17"", 1.0], [0, ""11"", 1.0]]","[""1"", ""4"", ""35"", ""50""]","[13, 7, 6, 4]",2468
4,4,Efficient,High,26,0.032852564102564104,0.0039037126068376064,2.576923076923077,17.935714285714305,21.420000000000023,representative_case_theme_park,"[[0, ""67"", 1.0], [0, ""54"", 1.0], [0, ""28"", 1.0], [0, ""17"", 1.0], [0, ""11"", 1.0]]","[""1"", ""4"", ""35"", ""50""]","[13, 7, 6, 4]",2468
4,4,Efficient,Low,34,0.07934173669467788,0.023159347072162197,4.029411764705882,38.74714285714289,46.14000000000004,representative_case_theme_park,"[[0, ""67"", 1.0], [0, ""54"", 1.0], [0, ""28"", 1.0], [0, ""17"", 1.0], [0, ""11"", 1.0]]","[""1"", ""4"", ""35"", ""50""]","[13, 7, 6, 4]",2468
4,35,Efficient,High,26,0.04720154845154845,0.010198952269772075,3.6153846153846154,19.21000000000002,22.59000000000002,representative_case_theme_park,"[[0, ""67"", 1.0], [0, ""54"", 1.0], [0, ""28"", 1.0], [0, ""17"", 1.0], [0, ""11"", 1.0]]","[""1"", ""4"", ""35"", ""50""]","[13, 7, 6, 4]",2468
4,35,Efficient,Low,34,0.06647777059541767,0.01697889866663299,3.5588235294117645,22.395000000000024,24.810000000000024,representative_case_theme_park,"[[0, ""67"", 1.0], [0, ""54"", 1.0], [0, ""28"", 1.0], [0, ""17"", 1.0], [0, ""11"", 1.0]]","[""1"", ""4"", ""35"", ""50""]","[13, 7, 6, 4]",2468
4,50,Efficient,High,26,0.044459706959706954,0.004667833158904587,2.8461538461538463,18.87750000000002,21.960000000000022,representative_case_theme_park,"[[0, ""67"", 1.0], [0, ""54"", 1.0], [0, ""28"", 1.0], [0, ""17"", 1.0], [0, ""11"", 1.0]]","[""1"", ""4"", ""35"", ""50""]","[13, 7, 6, 4]",2468
4,50,Efficient,Low,34,0.030077030812324927,0.0031120031345871677,2.3529411764705883,16.500000000000018,18.60000000000002,representative_case_theme_park,"[[0, ""67"", 1.0], [0, ""54"", 1.0], [0, ""28"", 1.0], [0, ""17"", 1.0], [0, ""11"", 1.0]]","[""1"", ""4"", ""35"", ""50""]","[13, 7, 6, 4]",2468
7,82,Efficient,High,81,0.024234709400916075,0.003928817834365947,22.876543209876544,102.95400000000011,106.80000000000011,case_1,"[[0, ""32"", 1.0], [0, ""112"", 1.0], [0, ""222"", 1.0], [0, ""223"", 1.0], [2400, ""170"", 0.7]]","[""82"", ""83""]","[5, 5]",1001
7,82,Efficient,Low,125,0.1497066210526517,0.04614931731979465,23.368,184.0140000000002,186.6900000000002,case_1,"[[0, ""32"", 1.0], [0, ""112"", 1.0], [0, ""222"", 1.0], [0, ""223"", 1.0], [2400, ""170"", 0.7]]","[""82"", ""83""]","[5, 5]",1001
7,83,Centrality,High,80,0.01922452643000644,0.004625684482517492,26.3,117.74400000000011,120.84000000000012,case_1,"[[0, ""32"", 1.0], [0, ""112"", 1.0], [0, ""222"", 1.0], [0, ""223"", 1.0], [2400, ""170"", 0.7]]","[""82"", ""83""]","[5, 5]",1001
7,83,Centrality,Low,125,0.07729993197467558,0.017790161914070266,19.904,163.17600000000016,171.54000000000016,case_1,"[[0, ""32"", 1.0], [0, ""112"", 1.0], [0, ""222"", 1.0], [0, ""223"", 1.0], [2400, ""170"", 0.7]]","[""82"", ""83""]","[5, 5]",1001
8,82,Efficient,High,76,0.0,0.0,24.69736842105263,106.9680000000001,112.98000000000012,case_2,"[[0, ""8"", 1.0], [0, ""7"", 1.0]]","[""82"", ""83""]","[5, 5]",1002
8,82,Efficient,Low,85,0.02671386738490397,0.01674120582176163,26.458823529411763,121.6320000000001,126.27000000000012,case_2,"[[0, ""8"", 1.0], [0, ""7"", 1.0]]","[""82"", ""83""]","[5, 5]",1002
8,83,Centrality,High,76,0.0,0.0,24.36842105263158,106.2360000000001,112.95000000000012,case_2,"[[0, ""8"", 1.0], [0, ""7"", 1.0]]","[""82"", ""83""]","[5, 5]",1002
8,83,Centrality,Low,85,0.013216535782482722,0.00789198522821671,24.51764705882353,112.86600000000013,116.40000000000012,case_2,"[[0, ""8"", 1.0], [0, ""7"", 1.0]]","[""82"", ""83""]","[5, 5]",1002
9,82,Efficient,High,72,0.0,0.0,25.61111111111111,102.95400000000011,106.80000000000011,case_3,"[[0, ""112"", 1.0], [0, ""222"", 1.0]]","[""82"", ""83""]","[5, 5]",1003
9,82,Efficient,Low,77,0.05929182155283986,0.02985346341392475,22.83116883116883,109.92000000000012,114.30000000000011,case_3,"[[0, ""112"", 1.0], [0, ""222"", 1.0]]","[""82"", ""83""]","[5, 5]",1003
9,83,Centrality,High,72,0.009694116537609668,0.001842875461139191,24.194444444444443,98.91000000000011,102.7800000000001,case_3,"[[0, ""112"", 1.0], [0, ""222"", 1.0]]","[""82"", ""83""]","[5, 5]",1003
9,83,Centrality,Low,77,0.010160777922214509,0.0020210475161320657,23.68831168831169,105.58800000000011,110.22000000000011,case_3,"[[0, ""112"", 1.0], [0, ""222"", 1.0]]","[""82"", ""83""]","[5, 5]",1003
10,82,Efficient,High,76,0.0,0.0,24.69736842105263,106.9680000000001,112.98000000000012,case_4,"[[0, ""8"", 1.0], [0, ""56"", 1.0]]","[""82"", ""83""]","[5, 5]",1004
10,82,Efficient,Low,84,0.02322561582036517,0.012682722513068798,26.595238095238095,120.50400000000013,124.77000000000012,case_4,"[[0, ""8"", 1.0], [0, ""56"", 1.0]]","[""82"", ""83""]","[5, 5]",1004
