experiment_id,agent_group_id,algorithm,awareness,n_records,mean_remaining_path_risk,remaining_path_risk_var,cumulative_risk_exposure,avg_path_length,avg_time,max_time,name,risk_nodes,source_nodes,agents_per_source,random_seed
14,14,Efficient,High,22,0.0662147448511085,0.012107743956307515,0.03295454545454546,5.7272727272727275,28.140000000000033,32.220000000000034,case_14,"[[0, ""67"", 1.0]]","[""5"", ""14""]","[5, 7]",2469
14,14,Efficient,Low,33,0.14562782335509608,0.049837140310330125,0.02651515151515152,6.636363636363637,44.47285714285719,48.57000000000005,case_14,"[[0, ""67"", 1.0]]","[""5"", ""14""]","[5, 7]",2469
13,5,Centrality,High,22,0.0,0.0,0.0,3.727272727272727,19.96800000000002,22.710000000000022,case_13,"[[0, ""69"", 1.0]]","[""5"", ""14""]","[5, 7]",246
13,5,Centrality,Low,22,0.0,0.0,0.0,3.727272727272727,19.96800000000002,22.710000000000022,case_13,"[[0, ""69"", 1.0]]","[""5"", ""14""]","[5, 7]",246
13,5,Efficient,High,22,0.020308441558441557,0.0034950725365903938,0.05757575757575758,3.5454545454545454,19.66800000000002,22.41000000000002,case_13,"[[0, ""69"", 1.0]]","[""5"", ""14""]","[5, 7]",246
13,5,Efficient,Low,22,0.020308441558441557,0.0034950725365903938,0.05757575757575758,3.5454545454545454,19.66800000000002,22.41000000000002,case_13,"[[0, ""69"", 1.0]]","[""5"", ""14""]","[5, 7]",246
13,14,Centrality,High,22,0.0,0.0,0.0,5.7272727272727275,28.140000000000033,32.220000000000034,case_13,"[[0, ""69"", 1.0]]","[""5"", ""14""]","[5, 7]",246
13,14,Centrality,Low,22,0.0,0.0,0.0,5.7272727272727275,28.140000000000033,32.220000000000034,case_13,"[[0, ""69"", 1.0]]","[""5"", ""14""]","[5, 7]",246
13,14,Efficient,High,22,0.03518119506755871,0.007236309587105288,0.05757575757575758,5.7272727272727275,28.290000000000028,32.46000000000003,case_13,"[[0, ""69"", 1.0]]","[""5"", ""14""]","[5, 7]",246
13,14,Efficient,Low,22,0.03518119506755871,0.007236309587105288,0.05757575757575758,5.7272727272727275,28.290000000000028,32.46000000000003,case_13,"[[0, ""69"", 1.0]]","[""5"", ""14""]","[5, 7]",246
12,14,Centrality,High,30,0.0,0.0,0.0035000000000000005,2.2666666666666666,15.462857142857157,18.570000000000018,case_12,"[[0, ""48"", 0.5]]","[""65"", ""14""]","[13, 7]",246
12,14,Centrality,Low,30,0.0,0.0,0.0035000000000000005,2.2666666666666666,15.462857142857157,18.570000000000018,case_12,"[[0, ""48"", 0.5]]","[""65"", ""14""]","[13, 7]",246
12,14,Efficient,High,30,0.0,0.0,0.0035000000000000005,2.2666666666666666,15.462857142857157,18.570000000000018,case_12,"[[0, ""48"", 0.5]]","[""65"", ""14""]","[13, 7]",246
